No,Œš•¨–¼,ˆÜ“x,Œo“x
1,Œš•¨1,33.90393174,130.8783394
2,Œš•¨2,34.65114757,135.1701076
3,Œš•¨3,34.93132768,135.1612393
4,Œš•¨4,37.63084124,140.4858309
5,Œš•¨5,33.90402079,130.8782751
6,Œš•¨6,35.67842486,136.0879752
7,Œš•¨7,36.77311585,137.0341019
8,Œš•¨8,36.73175126,136.9395515
9,Œš•¨9,36.75914388,137.0056517
10,Œš•¨10,36.77896667,137.0481431
11,Œš•¨11,34.69248064,135.6319329
12,Œš•¨12,34.66097079,135.418929
13,Œš•¨13,34.52798591,135.3960808
14,Œš•¨14,34.5833731,135.5639794
15,Œš•¨15,35.50229146,139.7576254
16,Œš•¨16,35.9806109,139.8665615
17,Œš•¨17,35.6748494,139.936843
18,Œš•¨18,35.15410028,138.6912782
19,Œš•¨19,34.75439523,137.9034147
20,Œš•¨20,35.33960167,139.3618611
21,Œš•¨21,35.53201346,139.7736372
22,Œš•¨22,35.4990978,139.7097418
23,Œš•¨23,35.4979292,139.7085252
24,Œš•¨24,35.49443185,139.762439
25,Œš•¨25,35.51787752,139.7628027
26,Œš•¨26,35.51028744,139.5526673
27,Œš•¨27,35.44680028,139.6448244
28,Œš•¨28,31.46274945,131.0915477
29,Œš•¨29,35.05208972,136.0224427
30,Œš•¨30,35.68549063,139.9598899
31,Œš•¨31,34.05930064,131.7456366
32,Œš•¨32,34.06502272,131.7813116
33,Œš•¨33,34.06349569,131.7774949
34,Œš•¨34,34.05189351,131.7961763
35,Œš•¨35,34.04171223,131.8481277
36,Œš•¨36,34.07069542,131.7492656
37,Œš•¨37,34.0235346,131.8208681
38,Œš•¨38,34.02704005,131.9130053
39,Œš•¨39,33.98466012,131.8811956
40,Œš•¨40,34.03361832,131.8815894
41,Œš•¨41,37.90371962,140.1739395
42,Œš•¨42,34.86203513,136.4387019
43,Œš•¨43,36.15655124,139.6404639
44,Œš•¨44,34.31899203,133.8512592
45,Œš•¨45,34.44730582,133.2083009
46,Œš•¨46,31.76674287,131.1016446
47,Œš•¨47,35.34757429,137.2558703
48,Œš•¨48,35.31420692,136.6453529
49,Œš•¨49,34.51944715,133.7479282
50,Œš•¨50,34.52438368,133.7407459
51,Œš•¨51,34.52341298,133.7627843
52,Œš•¨52,34.51754715,133.7665588
53,Œš•¨53,35.86137857,140.7286885
54,Œš•¨54,35.94611567,140.3921704
55,Œš•¨55,35.04643813,136.7620968
56,Œš•¨56,35.1014459,136.8909664
57,Œš•¨57,35.05079392,136.9031486
58,Œš•¨58,35.30712491,136.8907064
59,Œš•¨59,35.2806455,136.8910927
60,Œš•¨60,35.28772453,136.9474105
61,Œš•¨61,35.33158198,136.9366624
62,Œš•¨62,35.04093121,136.826653
63,Œš•¨63,35.04140239,136.8241637
64,Œš•¨64,34.02124616,131.5724069
65,Œš•¨65,34.05220987,131.7991288
66,Œš•¨66,34.03683528,131.7884788
67,Œš•¨67,33.937682,132.0668097
68,Œš•¨68,34.07419025,132.0757974
69,Œš•¨69,37.90710528,140.1724229
70,Œš•¨70,37.90635301,140.1727282
71,Œš•¨71,35.1078946,138.9262795
72,Œš•¨72,34.95028814,136.6371738
73,Œš•¨73,34.50105577,136.691141
74,Œš•¨74,34.82096529,135.235579
75,Œš•¨75,34.69359489,135.2591764
76,Œš•¨76,36.76422235,137.0206474
77,Œš•¨77,34.05757732,134.5978777
78,Œš•¨78,34.88816865,137.4778245
79,Œš•¨79,36.32094858,139.4060974
80,Œš•¨80,34.28699799,133.7758757
81,Œš•¨81,34.94711717,135.9273754
82,Œš•¨82,34.62985528,135.4194557
83,Œš•¨83,34.56157569,135.4260643
84,Œš•¨84,35.28966536,136.89593
